PROVIDER_ID,FIRST_NAME,MIDDLE_NAME,LAST_NAME,CREDENTIAL_TYPE,SPECIALTY1,SPECIALTY2
1649204306,Robert,Jon,Klickovich,MD,Anesthesiology,Pain Medicine
1649248915,Ruth,,Abramovitz,MD,Internal Medicine,
1649257411,John,William,Rohan,DO,Anesthesiology,
1649290404,Vijay,Anand,Rupanagudi,MD,Pulmonary Disease,
1649272394,Preston,Clay,Alexander,MD,Obstetrics & Gynecology,
1649288028,Dawn,M,Clary,OD,Optometrist,
1649206921,Margaret,W,Zdarzyl,MD,Adolescent Medicine,Pediatrics
1649276346,Hector,Anibal,Veron,PA,Physician Assistant,
1649248998,Werner,,Hollstein,MD,Emergency Medicine,Family Practice
1649277880,Rajesh,Kanayalal,Ailani,MD,Pulmonary Disease,
1649209115,Michael,Joseph,Kutryb,MD,Ophthalmology,
1649219585,Edifel,Nacu,Macatuno,MD,Adolescent Medicine,
1649238213,Ashish,Purushottam,Verma,,"Endocrinology, Diabetes & Metabolism",Internal Medicine
1649284308,Jack,William,Aland,MD,Otolaryngology,
1649244682,Jeffrey,Stanton,Sykes,MD,Cardiology,Internal Medicine
1649277534,Brian,Frederic,Hoeflinger,MD,"Surgery, Neurological",
1649258021,Shafiqul,,Alam,MD,Internal Medicine,
1649247040,Zane,Herbert,Gates,MD,Internal Medicine,
1649225160,Salman,,Rashid,MD,"Radiology, Diagnostic",Nuclear Medicine
1649286543,Gary,Steven,Schleiter,MD,Infectious Diseases,Internal Medicine
1649262536,Earl,John,Kilbride,MD,Obstetrics & Gynecology,"Surgery, Orthopedic"
1649279456,Robert,William,Nash,MD,Ophthalmology,
1649215138,Sophia,,Lal,DO,Physical Medicine & Rehabilitation,Sports Medicine
1649213158,Carolyn,Michelle,Matthews,MD,"Oncology, Gynecologic",
1649277757,Feyisayo,Adenike,Adeyina,MD,Family Practice,
1649288846,Melissa,Ann,Kainer Erwin,MD,Dermatology,Legal Medicine
1649396896,Mei,,Zhao,OD,Optometrist,
1649300120,Andrew,John,Markowski,MD,Emergency Medicine,
1649354408,Michael,Michio,Maruyama,MD,"Surgery, General",
1649376476,Dimitrios,P,Kontoyiannis,MD,Infectious Diseases,
1649342817,Richard,Alan,Federspiel,MD,Dermatology,
1649334079,Matthew,Tod,Levy,MD,Cardiac Electrophysiology,Cardiology
1649353509,Mark,Alfred,Auler,MD,Neuroradiology,"Radiology, Diagnostic"
1649365529,Rushdi,,Alul,DO,Emergency Medicine,Internal Medicine
1649315060,Erin,Kathleen,Bryant,,Physician Assistant,
1649355678,Carlos,David,Sanchez,MD,Emergency Medicine,
1649356346,Steven,Mitchell,Gadol,MD,Gastroenterology,
1649388364,Shaila,N,Williston,MD,Family Practice,
1649332172,Kshitij,Ambrish,Dalal,,"Radiology, Diagnostic",
1649374638,Anh,Thien,Ngo,MD,Obstetrics & Gynecology,
1649357187,Michael,Ryan,Guest,,Certified Registered Nurse Anesthetist,
1649309139,Ian,,Del Conde Pozzi,MD,Cardiology,Internal Medicine
1649326901,Sidney,Kaufman,Stein,MD,Pulmonary Disease,
1649345919,Jay,Steven,Miller,MD,"Surgery, Vascular",
1649307828,James,Markle,Tatum,OD,Optometrist,
1649364803,Jonathan,Andrew,Weeks,MD,Family Practice,
1649374000,Patrick,Michael,Davis,MD,Emergency Medicine,
1649376427,Suresh,,Chandrasekaran,MD,"Cardiology, Interventional",Internal Medicine
1649375379,Allison,Karina,Lopez-Galtman,LCSW,Behavioral Care,
1649310780,Allie,Kieran,Blackburn,MD,"Radiology, Diagnostic",
1649357633,Rajendra,Harmanbhai,Patel,MD,"Cardiology, Interventional",Internal Medicine
1649346636,Emanuel,David,Berston,MD,Pediatrics,
1649430349,Chi,Gene,Young,MD,Family Practice,
1649415308,Drew,Clifford,Hunter,MD,"Radiology, Diagnostic",
1649429986,Melissa,Bailey,Jorden,,Pain Medicine,
1649473166,Matthew,David,Caudle,MD,Emergency Medicine,
1649421934,Omobolanle,Omolayo,Adeyekun,MD,Internal Medicine,
1649476136,Dustin,Shawn,Tedesco,MD,Nephrology/Renal Medicine,Internal Medicine
1649435363,Gert,Jacobus,Smalberger,MB CHB,Dermatopathology,
1649403791,Albert,Yen,Lin,,Anesthesiology,
1649431776,Benjamin,Borcherdt,Lind,,"Surgery, General","Surgery, Vascular"
1649430125,Ilyse,Shara,Rosenberg,DO,Psychiatry,
1649478009,Thomas,Robert,Ronay,MD,Family Practice,
1649425356,Robin,Joy,Lahr,DO,Emergency Medicine,
1649408998,Derek,Alan,Barker,DPM,Podiatrist,
1649472556,Alissa,E,Block-Rissman,DO,Pediatrics,
1649437211,Pavle,,Repovic,MD PHD,Neurology,
1649405473,Xiu,,Sun,MD,Pathology,
1649442096,Eric,Keoni,Pomazal,PA-C,Physician Assistant,
1649402751,Anthony,Michael,Boulos,MD,Pulmonary Disease,Internal Medicine
1649436155,Omar,,Corujo,MD,Emergency Medicine,
1649461179,Steven,Charles,Presser,MD,"Endocrinology, Reproductive",Obstetrics & Gynecology
1649479742,Sanjay,,Chaudhary,MD,Nephrology/Renal Medicine,Internal Medicine
1649447228,Kathryn,Delores,Kelly,MD,Internal Medicine,
1649416264,Jordan,Paul,Mayer,DC,Chiropractor,
1649473836,Eric,Steven,Busby,PA,Physician Assistant,
1649447731,Sarah,Campbell,Stierman,MD,Dermatology,
1649400193,James,Kwanil,Chung,,Emergency Medicine,Internal Medicine
1649426610,John,Henry,Kaminski,MD,Cardiology,Internal Medicine
1649451881,Charles,Jared,White,MD,Emergency Medicine,
1649438219,Sara,Kathryn,Bigsby,,Anesthesiology,
1649532557,Justin,Nguyen,Winn,MD,"Radiology, Diagnostic",Internal Medicine
1649568288,Gopi,Kiran,Maharaja,,General Practice,Internal Medicine
1649544040,Scott,Raymond,Sawinski,,Certified Registered Nurse Anesthetist,
1649551284,Caitlyn,,Dunkelberger,PA-C,Physician Assistant,
1649542838,Laura,Jean,Campos,ARNP,Nurse Practitioner,Advanced Practice Nurse
1649504291,Melissa,Sylvia,Pattee,PA-C,Physician Assistant,
1649564220,Robert,Gregory,Lords,,Podiatrist,
1649596891,Naseem,Alexa,Jahdi,DO,Rheumatology,Internal Medicine
1649581448,Hao,Hoan,Nguyen,MD,Internal Medicine,
1649525437,Anna,,Ngo,PA,Physician Assistant,
1649517152,Lisa,Margaret,Giusty,,Assistive Therapy,
1649546185,Sang,Hoon,Lee,MD,"Emergency Medicine, Pediatric",Pediatrics
1649519588,Vahe,,Akopian,MD,Neurology,
1649582610,Yana,Ilieva,Bojilova-Norman,,Nurse Practitioner,Advanced Practice Nurse
1649658956,Kayla,,Kelly,MD,Internal Medicine,
1649683061,Lindsey,Berg,Myers,,Family Practice,
1649621509,Amanda,Rachel,Burns,,Physician Assistant,
1649675786,Vanessa,Ann,Mcdowell,PA,Physician Assistant,
1649655820,Emily,Diane,Bromley,CRNA,Certified Registered Nurse Anesthetist,
1649628355,Ivan,Alcides,Mora,,Assistive Therapy,
1649666249,Kristen,Arndt,Weibel,MD,Emergency Medicine,
1649690710,Sufiya,Shaik,Hussain,MD,Rheumatology,
1649641226,Mohammad,Younis,Ibrahim,MD,Hospitalist,Internal Medicine
1649685967,Mohammad,Mahdi,Kassir,MD,"Radiology, Diagnostic",
1649622366,Margaret,Abigail,Moon,MD,Family Practice,
1649685298,Edgar,Javier,Miranda Gonzalez,MD,Emergency Medicine,
1649716440,George,Martin,Jolly,,Advanced Practice Nurse,Nurse Practitioner
1649771882,Sarah,Megan,Moffett,NP-C,Nurse Practitioner,
1649753740,Jared,William,Rickabaugh,,Nurse Practitioner,
1649722760,Claire,Teves,Basco,,Nurse Practitioner,
1649728403,Ann,Marie,Wolber,,Physician Assistant,
1356613855,Matthew,David,Cuthrell,PA,Physician Assistant,
1356635049,Peter,Dinh,Cao,MD,Family Practice,
1356637839,Michael,David,Yashar,MD,Emergency Medicine,
1356670376,Jill,Elaine,Dusak,PA-C,Physician Assistant,
1356624233,Michael,,Glindmeyer,,Assistive Therapy,
1356698120,Elias,,Salloum,MD,Hospitalist,Internal Medicine
1356634265,Deep,,Shikha,MD,"Endocrinology, Diabetes & Metabolism",
1356659890,Debra,,Taylor,CRNP,Nurse Practitioner,
1356696306,Lindsey,Marie,Mills,OD,Optometrist,
1356794846,Sara,Ann,Sosa,FNP-C,Nurse Practitioner,Advanced Practice Nurse
1356778088,Courtney,Allison,Sinclair,,Assistive Therapy,
1356791768,Jacob,Andrew,Edens,,Pathology,"Pathology, Clinical"
1356787873,Kathryn,Quinn,Johnson,DO,Psychiatry,
1356786073,Jason,Raymond,Chalifoux,MD,"Radiology, Diagnostic",
1356788715,Kacey,Vogt,Kronenfeld,MD,Emergency Medicine,
1356761795,Jamie,Erin,Podell,MD,Neurology,
1356795504,Kary,Anne,Kelly,,Nurse Practitioner,Advanced Practice Nurse
1356787816,Nathan,Robert,Prichard,DO,Psychiatry,"Psychiatry, Child & Adolescent"
1356784284,Bevan,Ambus,Myles,MD,Internal Medicine,
1356791321,Kari-Ann,Markiesha,Dixon,,Advanced Practice Nurse,Nurse Practitioner
1356746895,Stephen,Christopher,Borda,,Certified Registered Nurse Anesthetist,
1356781124,Ryan,Kenneth,Rogers,FNP-BC,Nurse Practitioner,Advanced Practice Nurse
1356727093,Irtsam,,Shahid,MD,Internal Medicine,
1356780365,Maxwell,Dryden,Silver,DDS,Dentist,
1356729370,Stephanie,Ann,Goike,,Emergency Medicine,
1356786859,Asma,,Beg,MD,Internal Medicine,
1356875736,Marion,,Fossum,MD,,
1356852586,Shayna,Claire,Kaiser,PA,Physician Assistant,
1356825970,Kristin,Marie,Consiglio,PA-C,Physician Assistant,
1356867360,Blanche,Enyenge,Mokoso,,Nurse Practitioner,
1356819635,Carlos,A,Coello,PA,Physician Assistant,
1356803365,David,Beckham,Mullen,MD,,
1356864045,Angela,Jane,Wells,CNM,Certified Nurse Midwife,Advanced Practice Nurse
1356844831,Matthew,Thomas,Zoeteman,,Physician Assistant,
1356847867,Shirley,,Li,AAS,Administrator,
1356892673,Patricia,Ann,Christensen,SP,Nurse Practitioner,
1356848659,Jamie,Lee,Mcdaniel,C-NP,Nurse Practitioner,
1356905962,Alison,Sandra,Yousif,FNP-BC,Nurse Practitioner,
1356922645,Michael,,Kielmanowicz,,Administrator,
1356979686,Jonathan,,Ericson,,Emergency Medicine,Family Practice
1366095796,Julia,Renee,Morgan,,Assistive Therapy,
1366088726,Rita,,Greige,PA-C,Physician Assistant,
1366071797,Kelly,,Hundman,,Nurse Practitioner,Advanced Practice Nurse
1366045312,Nichole,Rose,Murphy,NP,Advanced Practice Nurse,Nurse Practitioner
1366400830,Vincent,C,Hung,MD,"Surgery, Plastic",
1366448516,Jean,Marie,Pohlot,PA-C,Physician Assistant,
1366434607,Andree,Adalbert,Dadrat,MD,Gastroenterology,
1366414609,Kalpana,M,Hari,MD,Neurology,
1366400590,Michael,Kwangsoo,Kim,MD,"Surgery, Plastic",
1366415390,Juha,Ilmari,Jaakkola,MD,"Surgery, Orthopedic",
1366406548,Nicholas,James,Schoch,DO,"Surgery, Orthopedic",
1366421927,Howard,Lee,Martin,MD,Dermatopathology,Pathology
1366481095,Robert,Louis,Kunkel,MD,Family Practice,
1366406498,Michael,L,Applefield,DO,Geriatric Medicine,Internal Medicine
1366434524,Davey,Paschael,Suh,DPM,Podiatrist,
1366490088,Josh,Eric,Mcwilliams,MD,Emergency Medicine,
1366465197,David,John,Chamberlain,DO,"Surgery, General",Emergency Medicine
1366493322,Melissa,Dawn,Tonn,MD,Occupational Medicine,
1366495756,Jeffrey,Scott,Guikema,PA,Physician Assistant,
1366447179,Robert,Fredric,Fishman,MD,Cardiology,"Cardiology, Interventional"
1366420887,Reuel,Martin,Aspacio,,Dermatology,
1366451098,Maithili,V,Rao,MD,Hematology & Oncology,"Oncology, Medical"
1366468423,Tamara,,James,MD,Obstetrics & Gynecology,
1366482994,Dan,Walker,Tehle Peters,MD,Family Practice,
1366448672,Joseph,Morris,Googe,MD,Ophthalmology,
1366408627,Paul,Anthony,Masci,,Hematology & Oncology,
1366484206,Sabah,Mohyaddin,Mohammed,MD,Internal Medicine,
1366450116,Maurice,Jeffrey,Hale,MD,"Radiology, Diagnostic",
1366419673,Todd,Andrew,Baker,MD,Family Practice,
1366448094,Farshad,,Lalehzarian,MD,Anesthesiology,
1366413387,Jose,Solomon,Tandoc,MD,"Radiology, Diagnostic",
1366492217,Sara,Marie,Cox,,Physician Assistant,
1366409930,David,John,Foscue,MD,General Practice,Family Practice
1366446635,Todd,Lewis,Monroe,MD,"Cardiology, Interventional",Cardiology
1366422446,Dean,Vincent,Yacobucci,MD,"Radiology, Pediatric","Radiology, Diagnostic"
1366401184,Scott,Lawrence,Sinnott,MD,Obstetrics & Gynecology,
1366482614,Shaofeng,,Yan,MD PHD,"Pathology, Anatomic",
1366483182,Karen,Lynn,Kaul,MD,Pathology,"Pathology, Clinical"
1366442592,Ashley,Elizabeth,Kepler,PA,Physician Assistant,
1366428948,Sheri,Lynn,Fox,PA-C,Physician Assistant,
1366447401,Scott,Gregory,Akin,MD,"Radiology, Diagnostic",
1366433484,Monica,Liwen,Huang,MD,"Radiology, Diagnostic",
1366442444,Kent,Simmons,Taulbee,MD,Dermatology,"Surgery, General"
1366434581,Wendy,,Van Bellingham,MD,Family Practice,
1366428484,George,George,Ellis,,Emergency Medicine,Internal Medicine
1366460487,Gilbert,Edward,Parker,MD,"Radiology, Diagnostic",
1366422263,Anne-Marie,Gisele,Sykes,,"Radiology, Diagnostic",
1366472144,Carla,Geraldine,Lyn-Boswell,MD,Family Practice,
1366486748,Steven,Robert,Lawton,MD,Family Practice,
1366462863,Joel,Richard,Silverman,MD,Pulmonary Disease,
1366414112,Mark,Dwight,Whitaker,MD,"Radiology, Diagnostic","Radiology, Vascular & Interventional"
1366465080,David,Quentin,Alleva,MD,"Radiology, Diagnostic",
1366427684,Bruce,David,Long,MD,Rheumatology,
1366468977,Robert,Paul,Beecham,,"Radiology, Diagnostic",
1366453847,Mini,,Bhaskar,MD,Rheumatology,Internal Medicine
1366414088,John,J,Distazio,DPM,Podiatrist,
1366451411,Kristin,Kay,Cassidy,MD,Internal Medicine,
1366434128,Edward,Allen,Maybury,MD,Anesthesiology,Emergency Medicine
1366492951,Marina,Zinovy,Rabkin,,Family Practice,
1366437758,Steven,A,Zimmer,OD,Optometrist,
1366498586,Brian,Dewayne,Weaver,MD,"Radiology, Diagnostic",
1366426876,Gary,Lawrence,Shapira,MD,Pathology,
1366418659,Ronit,,Wollstein,MD,"Surgery, Orthopedic",
1366418931,Azita,,Simoni,MD,Dermatology,
1366414625,James,Scott,Lohmeyer,MD,Anesthesiology,
1366429706,Andrew,Scott,Riemer,DO,Ophthalmology,
1366491110,Rami,Ephraim,Geffner,MD,Dermatology,Dermatopathology
1366497687,Sofiya,,Elterman,MD,Family Practice,
1366401820,Kevin,Richard,Joyce,DO,Rheumatology,
1366460172,Nancy,Joan,Bender Hausman,MD,Neurology,Sleep Medicine
1366434847,Sanobar,,Khan,MD,Pathology,
1366436255,Max,David,Rappaport,MD,"Surgery, General",
1366425639,Cynthia,Lee,Deangelis,MD,Ophthalmology,
1366483885,Matthew,Clayton,Wiggins,MD,"Radiology, Diagnostic",
1366436941,Susan,Selikoff,Harvey,MD,Pathology,
1366472748,Charles,Joel,Schatz,MD,"Radiology, Diagnostic",
1538554704,Nicholas,James,Robell,MD,Emergency Medicine,
1538594387,Toluwalase,Oluwakemi,Ogunsola,CRNP,Nurse Practitioner,Advanced Practice Nurse
1538561030,Samuel,Andrew,Sibley,PA,Physician Assistant,
1538541032,Lisa,Anne,Rauschert,,"Radiology, Diagnostic",Internal Medicine
1538555685,Leah,,Black,DO,Emergency Medicine,
1538596739,Rebecca,Marie,Breaux,APRN,Nurse Practitioner,Advanced Practice Nurse
1538582283,Maribeth,Anne,Otis,PA-C,Physician Assistant,
1538576442,Morris,Scott,Edelstein,DDS,Dentist,
1538555800,Jordan,Tyler,Resseguie,,Certified Registered Nurse Anesthetist,
1538579735,Tatiana,Kathleen,Deveney,,Ophthalmology,
1538514351,Felicia,,Tapp,NP,Nurse Practitioner,Advanced Practice Nurse
1538542071,Emem,,Usoro,MD,Hospitalist,
1538567367,Ashley,Anne,Tester,,Chiropractor,
1538506787,Megan,Nicole,Hunt,MD,Family Practice,
1538555990,Lynn,Garnette,Jiang,,Emergency Medicine,
1538620406,Justin,William,Allsop,MD,,
1538606983,Paige,Anne,Mcnamara,,Assistive Therapy,
1538614672,Ellana,,Davidov,PA-C,Physician Assistant,
1538605647,Mariah,Carrie,Poage,PA-C,Physician Assistant,
1538604939,Myra,Finiece,Lathrop,,Nurse Practitioner,Advanced Practice Nurse
1538613450,Jennifer,Nicole,Kelley,,Assistive Therapy,
1538685334,Katherine,Ann,Chopivsky,,Nurse Practitioner,Advanced Practice Nurse
1538644380,Anne,Marie,Weidner,NP,Nurse Practitioner,
1538609649,Stacey,Lea,Israel,,Nurse Practitioner,Advanced Practice Nurse
1538615869,Saad,,Tariq,MD,Internal Medicine,
1538700216,Hanna,,Ouellette,PA,Physician Assistant,
1538700851,Cameron,T J,Stengel,,Physician Assistant,
1538721881,Amare,Melak,Kassahun,NP,Nurse Practitioner,Advanced Practice Nurse
1538714738,Whitney,Lee,Oliver,PA-C,Physician Assistant,
1548251317,Joseph,Richard,Robbins,MD,"Radiology, Diagnostic",
1548207947,Leroy,Charles,Marmion,MD,Sleep Medicine,Neurology
1548255201,Mohammed,Abdul,Mojid,MD,Geriatric Medicine,Internal Medicine
1548289655,John,Bernard,Hughes,DO,"Surgery, Orthopedic",
1548210263,Yamini,Padma,Chennu,MD,Neurology,
1548218274,John,Jae,Kim,,Gastroenterology,
1548287246,Kristi,Ann,Simmons,MS,Physician Assistant,
1548210420,Rani,Kiran,Kumar,MD,Emergency Medicine,
1548241490,Matthew,Edward,Cohen,MD,Gastroenterology,Internal Medicine
1548203680,Miles,Edward,Gresham,MD,Gastroenterology,
1548206386,Christopher,William,Edwards,MD,Emergency Medicine,
1548295041,Francine,Elizabeth,Johns,PA-C,Physician Assistant,
1548249931,Muhammad,Sami,Iqbal,MD,Anesthesiology,Pain Medicine
1548235997,Timothy,Brian,Rooney,,"Radiology, Diagnostic",
1548286248,Timothy,Robert,Pangborn,MD,Emergency Medicine,
1548215940,Kevin,Grant,Reinold,MD,Family Practice,
1548297401,Lori,Lynn,Haycraft,,"Radiology, Diagnostic",
1548293855,William,Francis,Vorder Bruegge,MD,Gastroenterology,
1548236797,Geoffrey,Scott,Mcdonough,MD,Emergency Medicine,
1548254436,George,Peter,Piros,MD,"Radiology, Diagnostic",Neuroradiology
1548297633,David,,Barenberg,MD,Gastroenterology,Internal Medicine
1548249436,Robert,Alan,Clark,MD,Dermatology,
1548266877,Laura,Kay,Backer,MD,"Radiology, Diagnostic",
1548248511,Hung,Huy,Huynh,MD,Emergency Medicine,
1548289986,Lisa,G,Gallucci,PA-C,Physician Assistant,
1548218787,Jason,,Hsu,MD,Ophthalmology,
1548262272,William,Henry,Rossy,,Family Practice,
1548298326,Herman,David,Coleman,MD,"Radiology, Diagnostic",
1548238389,Thomas,Edward,Hendrick,MD,"Surgery, General",
1548245582,Patrick,Daniel,Gamp,,Cardiology,Internal Medicine
1548280605,George,Cheayoung,Kim,MD,Nephrology/Renal Medicine,
1548292527,Alok,,Bhagat,MD,Neurology,Sleep Medicine
1548229677,William,James,Marvin,MD,"Cardiology, Pediatric",Pediatrics
1548226293,George,Michael,Alliegro,MD,Infectious Diseases,Internal Medicine
1548298268,John,Joseph,Ryan,,Physician Assistant,
1548222136,Kenneth,Joseph,Mccabe,MD,"Radiology, Diagnostic",
1548243827,Gursharan,Kaur,Gill,MD,"Endocrinology, Diabetes & Metabolism",
1548250608,Carol,Ann,Phillips,ARNP,Advanced Practice Nurse,Nurse Practitioner
1548221096,Jan,Thatcher,Adams,MD,Emergency Medicine,Family Practice
1548264294,Kevin,Duane,Brown,MD,"Radiology, Diagnostic",
1548206428,Harvey,Brandon,Ayre,,Emergency Medicine,
1548266349,Dag,Andre,Jensen,MD,"Radiology, Diagnostic",
1548288558,Douglas,Wayne,Goodwin,MD,"Radiology, Diagnostic",
1548239734,Michael,,Bukhalo,MD,Dermatology,
1548201601,James,Harris,Strickland,MD,Pulmonary Disease,
1548260698,Hannah,Elizabeth,Parry,PT,Assistive Therapy,
1548200637,Richard,Mark,Gritz,MD,"Radiology, Diagnostic",
1548208846,Paul,Francis,Boffetti,MD,"Cardiology, Interventional",Internal Medicine
1548290687,Carlos,Jose,Lozada,MD,Rheumatology,
1548272545,Robert,,Schwartzenberg,MD,Internal Medicine,
1548222813,Stanley,Kwong-Yun,Lau,MD,"Cardiology, Interventional",Cardiology
1548362569,Rosanna,Claudia,Relyea,RPA-C,Physician Assistant,
1548394414,Khaled,Mostafa,Ghorab,MD,"Surgery, General",
1548336613,Marc,Reynolds,Alerte,MD,Internal Medicine,
1548332521,Karanjit,,Singh,MD,"Cardiology, Interventional",Cardiology
1548373947,Henry,Baines,Stamps,MD,Internal Medicine,
1548334659,Damalia,Teresa,Wilson,MD,Emergency Medicine,
1548335524,Norman,Asis,Aliga,MD,Physical Medicine & Rehabilitation,
1548337819,Regina,E,Stanton,NP,Nurse Practitioner,
1548356694,Robert,H,Mc Kay,MD,"Radiology, Diagnostic",
1548347198,Rebecca,Ragan,Davies,ARNP,Advanced Practice Nurse,Nurse Practitioner
1548378292,Rose,Jeanette,Rodriguez,,Advanced Practice Nurse,Nurse Practitioner
1548383003,Tiari,Avakian,Harris,MD MPH,Occupational Medicine,
1548353840,Luis,Leonardo,Rodriguez,MD,Cardiology,
1548359094,Jason,Andrew,Goebel,MD,Cardiac Electrophysiology,Cardiology
1548314545,Sadhana,,Sharma,MD,Family Practice,
1548378813,Joseph,Raymond,Pesce,MD,Dermatology,
1548340805,Sylvia,,Hsu,MD,Dermatology,
1548306954,Gustavo,Adolfo,Rosales,MD,Pediatrics,Family Practice
1548353048,James,Andre,Visser,MD,Nephrology/Renal Medicine,
1548329618,Siva,Prasad,Kurup,MD,Psychiatry,
1548365810,Susan,Elizabeth,Cheff,MD,Family Practice,
1548391683,Susanna,,Teng,MD,Pediatrics,Internal Medicine
1548344260,Shannon,L,Bryan,MD,Internal Medicine,
1548303993,William,Crandall,Ackerman,MD,Ophthalmology,
1548465198,Dinesh,Venkoba,Raju,MD PHD,Neurology,Internal Medicine
1548422900,Xiaohui,,Zhang,MD,Pathology,
1548424039,Adalbert,,Pilip,MD,Cardiology,Internal Medicine
1548444664,Jeffrey,Richard,Uzzilia,MD,Cardiology,
1548429228,Benjamin,Key,Yang,MD,Cardiology,Internal Medicine
1548457864,Jessy,Claire,Osborne,PA-C,Physician Assistant,
1548469281,Wen-Huan,Steve,Ho,MD,Gastroenterology,Internal Medicine
1548482151,Andre,Stephen,Prince,MD,"Radiology, Diagnostic",Neuroradiology
1548475650,Nathan,Hale,Fowler,MD,Hematology & Oncology,
1548455355,Shilpa,,Gupta,,Hematology & Oncology,Internal Medicine
1548498660,Joe,Tzong-Jyh,Huong,DO,Emergency Medicine,Family Practice
1548411341,Joseph,Ivan,Webb,PA-C,Physician Assistant,
1548406465,Benjamin,Mark,Schneider,MD,"Radiology, Diagnostic",
1548433592,Lauren,Herchak,Ayersman,DO,Family Practice,
1548431604,Nicole,Elizabeth,Kummer,MD,Obstetrics & Gynecology,"Endocrinology, Reproductive"
1548410053,Sharleen,Anne,Suico,MD,Physical Medicine & Rehabilitation,
1548431315,Sanjay,Nedal,Smith,MD,Ophthalmology,
1548428832,Suzanne,Rachel,Demore,NP,Nurse Practitioner,Advanced Practice Nurse
1548426554,Sasha,,Pavlov-Shapiro,MD,Urology,
1548432180,Laszlo,J,Karai,MD,Dermatopathology,"Pathology, Anatomic"
1548436975,James,Norman,Hadstate,MD,"Cardiology, Interventional",Internal Medicine
1548497043,Thomas,Howard,Reitz,,Dentist,
1548490212,John,Randall,Griffin,MD,Dermatology,
1548427875,Tracy,Bialy,Evans,MD,Dermatology,
1548449465,Mark,Albert,Francescone,MD,"Radiology, Diagnostic",Internal Medicine
1548468994,Shawn,Cory,Reese,MD,Neonatal/Perinatal Medicine,Pediatrics
1548468622,Ann,Elizabeth,Austin,DO,Internal Medicine,
1548444250,Sushil,Prabakaran,Anand,MD,General Practice,Pediatrics
1548444904,Simon,,Finger,MD,"Surgery, Orthopedic",
1548558703,Minas,Woldetsadik,Gebru,,Neurology,
1548510605,Andrea,Jacy,Harmony,NP,Nurse Practitioner,Advanced Practice Nurse
1548527229,Matthew,David,Nitz,MD,"Radiology, Diagnostic",
1548571524,Jordan,Anthony,Chance,MD,"Radiology, Diagnostic",Internal Medicine
1548502594,Huan,,Li,MD,Neurology,Internal Medicine
1548594682,Sascha,,Emami,DDS,Dentist,
1548548019,Zahoor,,Khan,MD,Cardiology,Internal Medicine
1548524465,Allister,Gerald,Gibbons Fell,,Ophthalmology,
1548507502,Tracey,Eugene,Lipscomb,PHARMD,Pharmacology,
1548543242,Mihaela,Roxana,Cocos,NP,Nurse Practitioner,Advanced Practice Nurse
1548587033,Mani,,Latifi,MD,Pulmonary Disease,Internal Medicine
1548558257,Jenna,Marie,Sullivan,,Physician Assistant,
1548551369,Marcia,Breithaupt,Upson,NP,Nurse Practitioner,Advanced Practice Nurse
1548578818,Janelle,Ruth,Bludorn,PA-C,Physician Assistant,
1548556566,Ged,Graves,Wieschhoff,,"Radiology, Diagnostic",
