NDC,CUI_L1_NAME,BRAND_GENERIC,CUI_L2_NAME_ARRAY,INGREDIENT_NAME_ARRAY,BRANDED_INGREDIENT_NAME_ARRAY,PKG_STRENGTH,PKG_QTY,STRENGTH_MG,DFG_NAME_ARRAY,DF_NAME_ARRAY,PIN_NAME_ARRAY,ALL_INGREDIENTS
00904530660,diphenhydramine hydrochloride 25 mg oral capsule [banophen],brand,"[
  ""diphenhydramine hydrochloride 25 mg [banophen]""
]","[
  ""diphenhydramine""
]","[
  ""Banophen""
]",25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Banophen Oral Product"",
  ""Banophen Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine || Banophen
00904530661,diphenhydramine hydrochloride 25 mg oral capsule,generic,"[
  ""diphenhydramine hydrochloride 25 mg""
]","[
  ""diphenhydramine""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""diphenhydramine Oral Product"",
  ""diphenhydramine Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine
00904530680,diphenhydramine hydrochloride 25 mg oral capsule [banophen],brand,"[
  ""diphenhydramine hydrochloride 25 mg [banophen]""
]","[
  ""diphenhydramine""
]","[
  ""Banophen""
]",25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Banophen Oral Product"",
  ""Banophen Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine || Banophen
00904530680,diphenhydramine hydrochloride 25 mg oral capsule,generic,"[
  ""diphenhydramine hydrochloride 25 mg""
]","[
  ""diphenhydramine""
]",[],25 MG,,25.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""diphenhydramine Oral Product"",
  ""diphenhydramine Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine
00904530780,diphenhydramine hydrochloride 50 mg oral capsule [banophen],brand,"[
  ""diphenhydramine hydrochloride 50 mg [banophen]""
]","[
  ""diphenhydramine""
]","[
  ""Banophen""
]",50 MG,,50.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Banophen Oral Product"",
  ""Banophen Pill""
]","[
  ""diphenhydramine hydrochloride"",
  ""diphenhydramine diacefyllinate"",
  ""diphenhydramine tannate"",
  ""diphenhydramine citrate""
]",diphenhydramine || Banophen
00904530920,ibuprofen 20 mg/ml oral suspension,generic,"[
  ""ibuprofen 20 mg/ml""
]","[
  ""ibuprofen""
]",[],20 MG/ML,,20.0,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""ibuprofen Oral Liquid Product"",
  ""ibuprofen Oral Product""
]","[
  ""ibuprofen, sodium salt"",
  ""ibuprofen lysine""
]",ibuprofen
00904546080,calcium carbonate 1250 mg / cholecalciferol 200 unt oral tablet,generic,"[
  ""calcium carbonate 1250 mg"",
  ""cholecalciferol 200 unt""
]","[
  ""calcium carbonate"",
  ""cholecalciferol""
]",[],1250 MG / 200 UNT,,1250.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""calcium carbonate / cholecalciferol Oral Product"",
  ""calcium carbonate / cholecalciferol Pill""
]",,calcium carbonate || cholecalciferol
77333093410,thiamine 100 mg oral tablet,generic,"[
  ""thiamine 100 mg""
]","[
  ""thiamine""
]",[],100 MG,,100.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""thiamine Oral Product"",
  ""thiamine Pill""
]","[
  ""thiamine mononitrate"",
  ""thiamine pyrophosphate"",
  ""thiamine hydrochloride"",
  ""thiamine disulfide""
]",thiamine
08222440006,isopropyl alcohol 0.7 ml/ml medicated pad,generic,"[
  ""isopropyl alcohol 0.7 ml/ml""
]","[
  ""isopropyl alcohol""
]",[],0.7 ML/ML,,0.7,"[
  ""Topical Product"",
  ""Medicated Pad or Tape""
]","[
  ""isopropyl alcohol Medicated Pad or Tape"",
  ""isopropyl alcohol Topical Product""
]","[
  ""SD alcohol 40 (20% w/w)""
]",isopropyl alcohol
08290306513,"5 ml heparin sodium, porcine 100 unt/ml prefilled syringe",generic,"[
  ""heparin sodium, porcine 100 unt/ml""
]","[
  ""heparin""
]",[],,5 ML,,"[
  ""Injectable Product""
]","[
  ""heparin Injectable Product""
]","[
  ""heparin, bovine"",
  ""heparin calcium"",
  ""heparin, porcine"",
  ""heparin sodium, bovine"",
  ""heparin sodium, porcine"",
  ""heparin sodium""
]",heparin
08290306544,3 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],,3 ML,,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
08290306544,10 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],9 MG/ML,10 ML,9.0,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
08290306546,10 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],9 MG/ML,10 ML,9.0,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
08290306547,10 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],9 MG/ML,10 ML,9.0,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
08290306553,10 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],9 MG/ML,10 ML,9.0,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
08881570121,10 ml sodium chloride 9 mg/ml prefilled syringe,generic,"[
  ""sodium chloride 9 mg/ml""
]","[
  ""sodium chloride""
]",[],9 MG/ML,10 ML,9.0,"[
  ""Injectable Product""
]","[
  ""sodium chloride Injectable Product""
]","[
  ""sodium chloride, (22)Na"",
  ""sodium chloride dihyrdate""
]",sodium chloride
10006070022,vitamin b12 1 mg oral tablet,generic,"[
  ""vitamin b12 1 mg""
]","[
  ""vitamin B12""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vitamin B12 Oral Product"",
  ""vitamin B12 Pill""
]",,vitamin B12
10006073040,melatonin 5 mg oral tablet,generic,"[
  ""melatonin 5 mg""
]","[
  ""melatonin""
]",[],5 MG,,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""melatonin Oral Product"",
  ""melatonin Pill""
]",,melatonin
10006073043,vitamin b12 1 mg oral tablet,generic,"[
  ""vitamin b12 1 mg""
]","[
  ""vitamin B12""
]",[],1 MG,,1.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""vitamin B12 Oral Product"",
  ""vitamin B12 Pill""
]",,vitamin B12
10019001681,glycopyrrolate 0.2 mg/ml injectable solution,generic,"[
  ""glycopyrrolate 0.2 mg/ml""
]","[
  ""glycopyrronium""
]",[],0.2 MG/ML,,0.2,"[
  ""Injectable Product""
]","[
  ""glycopyrronium Injectable Product""
]","[
  ""glycopyrronium tosylate"",
  ""glycopyrrolate""
]",glycopyrronium
55390012110,ondansetron 2 mg/ml injectable solution,generic,"[
  ""ondansetron 2 mg/ml""
]","[
  ""ondansetron""
]",[],2 MG/ML,,2.0,"[
  ""Injectable Product""
]","[
  ""ondansetron Injectable Product""
]","[
  ""ondansetron hydrochloride"",
  ""ondansetron hydrochloride anhydrous""
]",ondansetron
55390013020,labetalol hydrochloride 5 mg/ml injectable solution,generic,"[
  ""labetalol hydrochloride 5 mg/ml""
]","[
  ""labetalol""
]",[],5 MG/ML,,5.0,"[
  ""Injectable Product""
]","[
  ""labetalol Injectable Product""
]","[
  ""labetalol hydrochloride""
]",labetalol
55390013702,midazolam 1 mg/ml injectable solution,generic,"[
  ""midazolam 1 mg/ml""
]","[
  ""midazolam""
]",[],1 MG/ML,,1.0,"[
  ""Injectable Product""
]","[
  ""midazolam Injectable Product""
]","[
  ""midazolam maleate"",
  ""midazolam hydrochloride""
]",midazolam
55390048101,ketorolac tromethamine 30 mg/ml injectable solution,generic,"[
  ""ketorolac tromethamine 30 mg/ml""
]","[
  ""ketorolac""
]",[],30 MG/ML,,30.0,"[
  ""Injectable Product""
]","[
  ""ketorolac Injectable Product""
]","[
  ""ketorolac tromethamine""
]",ketorolac
55390048101,1 ml ketorolac tromethamine 30 mg/ml injection,generic,"[
  ""ketorolac tromethamine 30 mg/ml""
]","[
  ""ketorolac""
]",[],30 MG/ML,1 ML,30.0,"[
  ""Injectable Product""
]","[
  ""ketorolac Injectable Product""
]","[
  ""ketorolac tromethamine""
]",ketorolac
55494010010,doxylamine succinate 10 mg / pyridoxine hydrochloride 10 mg delayed release oral tablet [diclegis],brand,"[
  ""doxylamine succinate 10 mg / pyridoxine hydrochloride 10 mg [diclegis]"",
  ""doxylamine succinate 10 mg / pyridoxine hydrochloride 10 mg [diclegis]""
]","[
  ""doxylamine"",
  ""pyridoxine""
]","[
  ""Diclegis""
]",10 MG (expressed as doxylamine succinate) / 10 MG,,10.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Diclegis Oral Product"",
  ""Diclegis Pill""
]","[
  ""doxylamine succinate""
]",doxylamine || pyridoxine || Diclegis
00573016920,ibuprofen 200 mg oral capsule [advil],brand,"[
  ""ibuprofen 200 mg [advil]""
]","[
  ""ibuprofen""
]","[
  ""Advil""
]",200 MG,,200.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Advil Oral Product"",
  ""Advil Pill""
]","[
  ""ibuprofen, sodium salt"",
  ""ibuprofen lysine""
]",ibuprofen || Advil
00573266012,12 hr loratadine 5 mg / pseudoephedrine sulfate 120 mg extended release oral tablet [alavert d],brand,"[
  ""loratadine 5 mg / pseudoephedrine sulfate 120 mg [alavert d]"",
  ""loratadine 5 mg / pseudoephedrine sulfate 120 mg [alavert d]""
]","[
  ""pseudoephedrine"",
  ""loratadine""
]","[
  ""Alavert D""
]",5 MG / 120 MG,12 HR,5.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""Alavert D Oral Product"",
  ""Alavert D Pill""
]","[
  ""pseudoephedrine tannate"",
  ""pseudoephedrine polistirex"",
  ""pseudoephedrine hydrochloride"",
  ""pseudoephedrine sulfate""
]",pseudoephedrine || loratadine || Alavert D
00574010770,clotrimazole 10 mg oral lozenge,generic,"[
  ""clotrimazole 10 mg""
]","[
  ""clotrimazole""
]",[],10 MG,,10.0,"[
  ""Oral Product"",
  ""Lozenge Product""
]","[
  ""clotrimazole Oral Product"",
  ""clotrimazole Lozenge Product""
]",,clotrimazole
00574018101,potassium chloride 10 meq extended release oral capsule,generic,"[
  ""potassium chloride 10 meq""
]","[
  ""potassium chloride""
]",[],10 MEQ,,,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""potassium chloride Oral Product"",
  ""potassium chloride Pill""
]",,potassium chloride
00574018105,potassium chloride 10 meq extended release oral capsule,generic,"[
  ""potassium chloride 10 meq""
]","[
  ""potassium chloride""
]",[],10 MEQ,,,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""potassium chloride Oral Product"",
  ""potassium chloride Pill""
]",,potassium chloride
00574019451,ergocalciferol 1.25 mg oral capsule,generic,"[
  ""ergocalciferol 1.25 mg""
]","[
  ""ergocalciferol""
]",[],1.25 MG,,1.3,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ergocalciferol Oral Product"",
  ""ergocalciferol Pill""
]",,ergocalciferol
00574027505,potassium chloride 10 meq extended release oral tablet,generic,"[
  ""potassium chloride 10 meq""
]","[
  ""potassium chloride""
]",[],10 MEQ,,,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""potassium chloride Oral Product"",
  ""potassium chloride Pill""
]",,potassium chloride
00574027930,paroxetine mesylate 7.5 mg oral capsule,generic,"[
  ""paroxetine mesylate 7.5 mg""
]","[
  ""paroxetine""
]",[],7.5 MG,,7.5,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""paroxetine Oral Product"",
  ""paroxetine Pill""
]","[
  ""paroxetine hydrochloride, hemihydrate"",
  ""paroxetine hydrochloride anhydrous"",
  ""paroxetine hydrochloride"",
  ""paroxetine mesylate""
]",paroxetine
00574041205,polyethylene glycol 3350 17000 mg powder for oral solution,generic,"[
  ""polyethylene glycol 3350 17000 mg""
]","[
  ""polyethylene glycol 3350""
]",[],17000 MG,,17000.0,"[
  ""Oral Product"",
  ""Oral Powder Product""
]","[
  ""polyethylene glycol 3350 Oral Product"",
  ""polyethylene glycol 3350 Oral Powder Product""
]",,polyethylene glycol 3350
00574041207,polyethylene glycol 3350 17000 mg powder for oral solution,generic,"[
  ""polyethylene glycol 3350 17000 mg""
]","[
  ""polyethylene glycol 3350""
]",[],17000 MG,,17000.0,"[
  ""Oral Product"",
  ""Oral Powder Product""
]","[
  ""polyethylene glycol 3350 Oral Product"",
  ""polyethylene glycol 3350 Oral Powder Product""
]",,polyethylene glycol 3350
00574050801,ferrous gluconate 324 mg oral tablet,generic,"[
  ""ferrous gluconate 324 mg""
]","[
  ""ferrous gluconate""
]",[],324 MG,,324.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous gluconate Oral Product"",
  ""ferrous gluconate Pill""
]",,ferrous gluconate
00574060801,ferrous sulfate 325 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 325 mg""
]","[
  ""ferrous sulfate""
]",[],325 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574060801,ferrous sulfate 324 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 324 mg""
]","[
  ""ferrous sulfate""
]",[],324 MG,,324.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574060810,ferrous sulfate 325 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 325 mg""
]","[
  ""ferrous sulfate""
]",[],325 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574060810,ferrous sulfate 324 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 324 mg""
]","[
  ""ferrous sulfate""
]",[],324 MG,,324.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574060811,ferrous sulfate 325 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 325 mg""
]","[
  ""ferrous sulfate""
]",[],325 MG,,325.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574060811,ferrous sulfate 324 mg delayed release oral tablet,generic,"[
  ""ferrous sulfate 324 mg""
]","[
  ""ferrous sulfate""
]",[],324 MG,,324.0,"[
  ""Oral Product"",
  ""Pill""
]","[
  ""ferrous sulfate Oral Product"",
  ""ferrous sulfate Pill""
]","[
  ""ferrous sulfate,dried""
]",ferrous sulfate
00574082001,1 ml testosterone cypionate 200 mg/ml injection,generic,"[
  ""testosterone cypionate 200 mg/ml""
]","[
  ""testosterone""
]",[],200 MG/ML (expressed as testosterone cypionate),1 ML,200.0,"[
  ""Injectable Product""
]","[
  ""testosterone Injectable Product""
]","[
  ""testosterone propionate"",
  ""testosterone (micronized)"",
  ""testosterone decanoate"",
  ""testosterone enanthate"",
  ""testosterone undecanoate"",
  ""testosterone isocaproate"",
  ""testosterone cypionate""
]",testosterone
00574082001,testosterone cypionate 200 mg/ml injectable solution,generic,"[
  ""testosterone cypionate 200 mg/ml""
]","[
  ""testosterone""
]",[],200 MG/ML (expressed as testosterone cypionate),,200.0,"[
  ""Injectable Product""
]","[
  ""testosterone Injectable Product""
]","[
  ""testosterone propionate"",
  ""testosterone (micronized)"",
  ""testosterone decanoate"",
  ""testosterone enanthate"",
  ""testosterone undecanoate"",
  ""testosterone isocaproate"",
  ""testosterone cypionate""
]",testosterone
00574082010,testosterone cypionate 200 mg/ml injectable solution,generic,"[
  ""testosterone cypionate 200 mg/ml""
]","[
  ""testosterone""
]",[],200 MG/ML (expressed as testosterone cypionate),,200.0,"[
  ""Injectable Product""
]","[
  ""testosterone Injectable Product""
]","[
  ""testosterone propionate"",
  ""testosterone (micronized)"",
  ""testosterone decanoate"",
  ""testosterone enanthate"",
  ""testosterone undecanoate"",
  ""testosterone isocaproate"",
  ""testosterone cypionate""
]",testosterone
00574082701,1 ml testosterone cypionate 200 mg/ml injection,generic,"[
  ""testosterone cypionate 200 mg/ml""
]","[
  ""testosterone""
]",[],200 MG/ML (expressed as testosterone cypionate),1 ML,200.0,"[
  ""Injectable Product""
]","[
  ""testosterone Injectable Product""
]","[
  ""testosterone propionate"",
  ""testosterone (micronized)"",
  ""testosterone decanoate"",
  ""testosterone enanthate"",
  ""testosterone undecanoate"",
  ""testosterone isocaproate"",
  ""testosterone cypionate""
]",testosterone
00574082701,testosterone cypionate 200 mg/ml injectable solution,generic,"[
  ""testosterone cypionate 200 mg/ml""
]","[
  ""testosterone""
]",[],200 MG/ML (expressed as testosterone cypionate),,200.0,"[
  ""Injectable Product""
]","[
  ""testosterone Injectable Product""
]","[
  ""testosterone propionate"",
  ""testosterone (micronized)"",
  ""testosterone decanoate"",
  ""testosterone enanthate"",
  ""testosterone undecanoate"",
  ""testosterone isocaproate"",
  ""testosterone cypionate""
]",testosterone
00574110404,brompheniramine maleate 0.4 mg/ml / dextromethorphan hydrobromide 2 mg/ml / pseudoephedrine hydrochloride 6 mg/ml oral solution,generic,"[
  ""pseudoephedrine hydrochloride 6 mg/ml"",
  ""dextromethorphan hydrobromide 2 mg/ml"",
  ""brompheniramine maleate 0.4 mg/ml""
]","[
  ""brompheniramine"",
  ""dextromethorphan"",
  ""pseudoephedrine""
]",[],0.4 MG/ML / 2 MG/ML / 6 MG/ML,,0.4,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""brompheniramine / dextromethorphan / pseudoephedrine Oral Liquid Product"",
  ""brompheniramine / dextromethorphan / pseudoephedrine Oral Product""
]",,brompheniramine || dextromethorphan || pseudoephedrine
00574110416,brompheniramine maleate 0.4 mg/ml / dextromethorphan hydrobromide 2 mg/ml / pseudoephedrine hydrochloride 6 mg/ml oral solution,generic,"[
  ""pseudoephedrine hydrochloride 6 mg/ml"",
  ""dextromethorphan hydrobromide 2 mg/ml"",
  ""brompheniramine maleate 0.4 mg/ml""
]","[
  ""brompheniramine"",
  ""dextromethorphan"",
  ""pseudoephedrine""
]",[],0.4 MG/ML / 2 MG/ML / 6 MG/ML,,0.4,"[
  ""Oral Product"",
  ""Oral Liquid Product""
]","[
  ""brompheniramine / dextromethorphan / pseudoephedrine Oral Liquid Product"",
  ""brompheniramine / dextromethorphan / pseudoephedrine Oral Product""
]",,brompheniramine || dextromethorphan || pseudoephedrine
00574200802,nystatin 100 unt/mg topical powder [nystop],brand,"[
  ""nystatin 100 unt/mg [nystop]""
]","[
  ""nystatin""
]","[
  ""Nystop""
]",100 UNT/MG,,100.0,"[
  ""Topical Product""
]","[
  ""Nystop Topical Product""
]",,nystatin || Nystop
00574200815,nystatin 100 unt/mg topical powder [nystop],brand,"[
  ""nystatin 100 unt/mg [nystop]""
]","[
  ""nystatin""
]","[
  ""Nystop""
]",100 UNT/MG,,100.0,"[
  ""Topical Product""
]","[
  ""Nystop Topical Product""
]",,nystatin || Nystop
00574200830,nystatin 100 unt/mg topical powder [nystop],brand,"[
  ""nystatin 100 unt/mg [nystop]""
]","[
  ""nystatin""
]","[
  ""Nystop""
]",100 UNT/MG,,100.0,"[
  ""Topical Product""
]","[
  ""Nystop Topical Product""
]",,nystatin || Nystop
00574206101,ciclopirox 0.0077 mg/mg topical gel,generic,"[
  ""ciclopirox 0.0077 mg/mg""
]","[
  ""ciclopirox""
]",[],0.0077 MG/MG,,0.0,"[
  ""Topical Product""
]","[
  ""ciclopirox Topical Product""
]","[
  ""ciclopirox olamine""
]",ciclopirox
00574206302,clobetasol propionate 0.5 mg/ml topical spray,generic,"[
  ""clobetasol propionate 0.5 mg/ml""
]","[
  ""clobetasol""
]",[],0.5 MG/ML,,0.5,"[
  ""Topical Product""
]","[
  ""clobetasol Topical Product""
]","[
  ""clobetasol propionate""
]",clobetasol
00574206304,clobetasol propionate 0.5 mg/ml topical spray,generic,"[
  ""clobetasol propionate 0.5 mg/ml""
]","[
  ""clobetasol""
]",[],0.5 MG/ML,,0.5,"[
  ""Topical Product""
]","[
  ""clobetasol Topical Product""
]","[
  ""clobetasol propionate""
]",clobetasol
00574210745,ivermectin 10 mg/ml topical cream,generic,"[
  ""ivermectin 10 mg/ml""
]","[
  ""ivermectin""
]",[],10 MG/ML,,10.0,"[
  ""Topical Product""
]","[
  ""ivermectin Topical Product""
]",,ivermectin
73070010315,"3 ml insulin aspart, human 100 unt/ml pen injector",generic,"[
  ""insulin aspart, human 100 unt/ml""
]","[
  ""insulin aspart, human""
]",[],100 UNT/ML,3 ML,100.0,"[
  ""Injectable Product""
]","[
  ""insulin aspart, human Injectable Product""
]",,"insulin aspart, human"
