CODE,CODE_ORIG,CODE_DESCRIPTION
Y92039,Y92.039,Unspecified place in apartment as the place of occurrence of the external cause
Y92129,Y92.129,Unspecified place in nursing home as the place of occurrence of the external cause
Y92410,Y92.410,Unspecified street and highway as the place of occurrence of the external cause
Y92481,Y92.481,Parking lot as the place of occurrence of the external cause
Y92512,Y92.512,"Supermarket, store or market as the place of occurrence of the external cause"
Y929,Y92.9,Unspecified place or not applicable
Y9301,Y93.01,"Activity, walking, marching and hiking"
Y9322,Y93.22,"Activity, ice hockey"
Y9361,Y93.61,"Activity, american tackle football"
Y9365,Y93.65,"Activity, lacrosse and field hockey"
Y9389,Y93.89,"Activity, other specified"
Y939,Y93.9,"Activity, unspecified"
Y93F2,Y93.F2,"Activity, caregiving, lifting"
Y990,Y99.0,Civilian activity done for income or pay
Y998,Y99.8,Other external cause status
Y999,Y99.9,Unspecified external cause status
Z00,Z00,"Encounter for general examination without complaint, suspected or reported diagnosis"
Z000,Z00.0,Encounter for general adult medical examination
Z0000,Z00.00,Encounter for general adult medical examination without abnormal findings
Z0001,Z00.01,Encounter for general adult medical examination with abnormal findings
Z00110,Z00.110,Health examination for newborn under 8 days old
Z00111,Z00.111,Health examination for newborn 8 to 28 days old
Z00121,Z00.121,Encounter for routine child health examination with abnormal findings
Z00129,Z00.129,Encounter for routine child health examination without abnormal findings
Z003,Z00.3,Encounter for examination for adolescent development state
Z005,Z00.5,Encounter for examination of potential donor of organ and tissue
Z006,Z00.6,Encounter for examination for normal comparison and control in clinical research program
Z008,Z00.8,Encounter for other general examination
Z0100,Z01.00,Encounter for examination of eyes and vision without abnormal findings
Z0101,Z01.01,Encounter for examination of eyes and vision with abnormal findings
Z0110,Z01.10,Encounter for examination of ears and hearing without abnormal findings
Z0120,Z01.20,Encounter for dental examination and cleaning without abnormal findings
Z0130,Z01.30,Encounter for examination of blood pressure without abnormal findings
Z0141,Z01.41,Encounter for routine gynecological examination
Z01411,Z01.411,Encounter for gynecological examination (general) (routine) with abnormal findings
Z01419,Z01.419,Encounter for gynecological examination (general) (routine) without abnormal findings
Z0181,Z01.81,Encounter for preprocedural examinations
Z01810,Z01.810,Encounter for preprocedural cardiovascular examination
Z01811,Z01.811,Encounter for preprocedural respiratory examination
Z01812,Z01.812,Encounter for preprocedural laboratory examination
Z01818,Z01.818,Encounter for other preprocedural examination
Z0183,Z01.83,Encounter for blood typing
Z0184,Z01.84,Encounter for antibody response examination
Z0189,Z01.89,Encounter for other specified special examinations
Z020,Z02.0,Encounter for examination for admission to educational institution
Z021,Z02.1,Encounter for pre-employment examination
Z024,Z02.4,Encounter for examination for driving license
Z0271,Z02.71,Encounter for disability determination
Z0279,Z02.79,Encounter for issue of other medical certificate
Z0283,Z02.83,Encounter for blood-alcohol and blood-drug test
Z0289,Z02.89,Encounter for other administrative examinations
Z029,Z02.9,"Encounter for administrative examinations, unspecified"
Z0371,Z03.71,Encounter for suspected problem with amniotic cavity and membrane ruled out
Z0372,Z03.72,Encounter for suspected placental problem ruled out
Z0373,Z03.73,Encounter for suspected fetal anomaly ruled out
Z0375,Z03.75,Encounter for suspected cervical shortening ruled out
Z0379,Z03.79,Encounter for other suspected maternal and fetal conditions ruled out
Z03818,Z03.818,Encounter for observation for suspected exposure to other biological agents ruled out
Z0389,Z03.89,Encounter for observation for other suspected diseases and conditions ruled out
Z041,Z04.1,Encounter for examination and observation following transport accident
Z043,Z04.3,Encounter for examination and observation following other accident
Z048,Z04.8,Encounter for examination and observation for other specified reasons
Z049,Z04.9,Encounter for examination and observation for unspecified reason
Z08,Z08,Encounter for follow-up examination after completed treatment for malignant neoplasm
Z09,Z09,Encounter for follow-up examination after completed treatment for conditions other than malignant neoplasm
Z11,Z11,Encounter for screening for infectious and parasitic diseases
Z111,Z11.1,Encounter for screening for respiratory tuberculosis
Z112,Z11.2,Encounter for screening for other bacterial diseases
Z113,Z11.3,Encounter for screening for infections with a predominantly sexual mode of transmission
Z114,Z11.4,Encounter for screening for human immunodeficiency virus [HIV]
Z1151,Z11.51,Encounter for screening for human papillomavirus (HPV)
Z1152,Z11.52,Encounter for screening for COVID-19
Z1159,Z11.59,Encounter for screening for other viral diseases
Z118,Z11.8,Encounter for screening for other infectious and parasitic diseases
Z119,Z11.9,"Encounter for screening for infectious and parasitic diseases, unspecified"
Z1210,Z12.10,"Encounter for screening for malignant neoplasm of intestinal tract, unspecified"
Z1211,Z12.11,Encounter for screening for malignant neoplasm of colon
Z1212,Z12.12,Encounter for screening for malignant neoplasm of rectum
Z122,Z12.2,Encounter for screening for malignant neoplasm of respiratory organs
Z1231,Z12.31,Encounter for screening mammogram for malignant neoplasm of breast
Z1239,Z12.39,Encounter for other screening for malignant neoplasm of breast
Z124,Z12.4,Encounter for screening for malignant neoplasm of cervix
Z125,Z12.5,Encounter for screening for malignant neoplasm of prostate
Z1272,Z12.72,Encounter for screening for malignant neoplasm of vagina
Z1283,Z12.83,Encounter for screening for malignant neoplasm of skin
Z13,Z13,Encounter for screening for other diseases and disorders
Z130,Z13.0,Encounter for screening for diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
Z131,Z13.1,Encounter for screening for diabetes mellitus
Z1321,Z13.21,Encounter for screening for nutritional disorder
Z1322,Z13.22,Encounter for screening for metabolic disorder
Z13220,Z13.220,Encounter for screening for lipoid disorders
Z13228,Z13.228,Encounter for screening for other metabolic disorders
Z1329,Z13.29,Encounter for screening for other suspected endocrine disorder
Z1330,Z13.30,"Encounter for screening examination for mental health and behavioral disorders, unspecified"
Z1331,Z13.31,Encounter for screening for depression
Z1339,Z13.39,Encounter for screening examination for other mental health and behavioral disorders
Z1349,Z13.49,Encounter for screening for other developmental delays
Z135,Z13.5,Encounter for screening for eye and ear disorders
Z136,Z13.6,Encounter for screening for cardiovascular disorders
Z1371,Z13.71,Encounter for nonprocreative screening for genetic disease carrier status
Z1379,Z13.79,Encounter for other screening for genetic and chromosomal anomalies
Z13810,Z13.810,Encounter for screening for upper gastrointestinal disorder
Z13811,Z13.811,Encounter for screening for lower gastrointestinal disorder
Z13818,Z13.818,Encounter for screening for other digestive system disorders
Z13820,Z13.820,Encounter for screening for osteoporosis
Z13828,Z13.828,Encounter for screening for other musculoskeletal disorder
Z1383,Z13.83,Encounter for screening for respiratory disorder NEC
Z1388,Z13.88,Encounter for screening for disorder due to exposure to contaminants
Z1389,Z13.89,Encounter for screening for other disorder
Z139,Z13.9,"Encounter for screening, unspecified"
Z148,Z14.8,Genetic carrier of other disease
Z1501,Z15.01,Genetic susceptibility to malignant neoplasm of breast
Z1502,Z15.02,Genetic susceptibility to malignant neoplasm of ovary
Z1509,Z15.09,Genetic susceptibility to other malignant neoplasm
Z1589,Z15.89,Genetic susceptibility to other disease
Z1612,Z16.12,Extended spectrum beta lactamase (ESBL) resistance
Z1621,Z16.21,Resistance to vancomycin
Z1624,Z16.24,Resistance to multiple antibiotics
Z170,Z17.0,Estrogen receptor positive status [ER+]
Z18,Z18,Retained foreign body fragments
Z1811,Z18.11,Retained magnetic metal fragments
Z1832,Z18.32,Retained tooth
Z201,Z20.1,Contact with and (suspected) exposure to tuberculosis
Z202,Z20.2,Contact with and (suspected) exposure to infections with a predominantly sexual mode of transmission
Z203,Z20.3,Contact with and (suspected) exposure to rabies
Z205,Z20.5,Contact with and (suspected) exposure to viral hepatitis
Z206,Z20.6,Contact with and (suspected) exposure to human immunodeficiency virus [HIV]
Z20818,Z20.818,Contact with and (suspected) exposure to other bacterial communicable diseases
Z20822,Z20.822,Contact with and (suspected) exposure to COVID-19
Z20828,Z20.828,Contact with and (suspected) exposure to other viral communicable diseases
Z209,Z20.9,Contact with and (suspected) exposure to unspecified communicable disease
Z21,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status
Z22322,Z22.322,Carrier or suspected carrier of Methicillin resistant Staphylococcus aureus
Z22330,Z22.330,Carrier of Group B streptococcus
Z2239,Z22.39,Carrier of other specified bacterial diseases
Z227,Z22.7,Latent tuberculosis
Z229,Z22.9,"Carrier of infectious disease, unspecified"
Z23,Z23,Encounter for immunization
Z2820,Z28.20,Immunization not carried out because of patient decision for unspecified reason
Z2821,Z28.21,Immunization not carried out because of patient refusal
Z283,Z28.3,Underimmunization status
Z2882,Z28.82,Immunization not carried out because of caregiver refusal
Z2889,Z28.89,Immunization not carried out for other reason
Z298,Z29.8,Encounter for other specified prophylactic measures
Z299,Z29.9,"Encounter for prophylactic measures, unspecified"
Z3001,Z30.01,Encounter for initial prescription of contraceptives
Z30011,Z30.011,Encounter for initial prescription of contraceptive pills
Z30012,Z30.012,Encounter for prescription of emergency contraception
Z30013,Z30.013,Encounter for initial prescription of injectable contraceptive
Z30018,Z30.018,Encounter for initial prescription of other contraceptives
Z3009,Z30.09,Encounter for other general counseling and advice on contraception
Z302,Z30.2,Encounter for sterilization
Z3040,Z30.40,"Encounter for surveillance of contraceptives, unspecified"
Z3041,Z30.41,Encounter for surveillance of contraceptive pills
Z3042,Z30.42,Encounter for surveillance of injectable contraceptive
Z30430,Z30.430,Encounter for insertion of intrauterine contraceptive device
Z30431,Z30.431,Encounter for routine checking of intrauterine contraceptive device
Z30432,Z30.432,Encounter for removal of intrauterine contraceptive device
Z3044,Z30.44,Encounter for surveillance of vaginal ring hormonal contraceptive device
Z3045,Z30.45,Encounter for surveillance of transdermal patch hormonal contraceptive device
Z3049,Z30.49,Encounter for surveillance of other contraceptives
Z308,Z30.8,Encounter for other contraceptive management
Z309,Z30.9,"Encounter for contraceptive management, unspecified"
Z310,Z31.0,Encounter for reversal of previous sterilization
Z3141,Z31.41,Encounter for fertility testing
Z31430,Z31.430,Encounter of female for testing for genetic disease carrier status for procreative management
Z31438,Z31.438,Encounter for other genetic testing of female for procreative management
Z31440,Z31.440,Encounter of male for testing for genetic disease carrier status for procreative management
Z3149,Z31.49,Encounter for other procreative investigation and testing
Z315,Z31.5,Encounter for procreative genetic counseling
Z3169,Z31.69,Encounter for other general counseling and advice on procreation
Z3183,Z31.83,Encounter for assisted reproductive fertility procedure cycle
Z3189,Z31.89,Encounter for other procreative management
Z3200,Z32.00,"Encounter for pregnancy test, result unknown"
Z3201,Z32.01,"Encounter for pregnancy test, result positive"
Z3202,Z32.02,"Encounter for pregnancy test, result negative"
Z322,Z32.2,Encounter for childbirth instruction
Z331,Z33.1,"Pregnant state, incidental"
Z332,Z33.2,Encounter for elective termination of pregnancy
Z34,Z34,Encounter for supervision of normal pregnancy
Z3400,Z34.00,"Encounter for supervision of normal first pregnancy, unspecified trimester"
Z3401,Z34.01,"Encounter for supervision of normal first pregnancy, first trimester"
Z3402,Z34.02,"Encounter for supervision of normal first pregnancy, second trimester"
Z3403,Z34.03,"Encounter for supervision of normal first pregnancy, third trimester"
Z3480,Z34.80,"Encounter for supervision of other normal pregnancy, unspecified trimester"
Z3481,Z34.81,"Encounter for supervision of other normal pregnancy, first trimester"
Z3482,Z34.82,"Encounter for supervision of other normal pregnancy, second trimester"
Z3483,Z34.83,"Encounter for supervision of other normal pregnancy, third trimester"
Z3490,Z34.90,"Encounter for supervision of normal pregnancy, unspecified, unspecified trimester"
Z3491,Z34.91,"Encounter for supervision of normal pregnancy, unspecified, first trimester"
Z3492,Z34.92,"Encounter for supervision of normal pregnancy, unspecified, second trimester"
Z3493,Z34.93,"Encounter for supervision of normal pregnancy, unspecified, third trimester"
Z36,Z36,Encounter for antenatal screening of mother
Z360,Z36.0,Encounter for antenatal screening for chromosomal anomalies
Z362,Z36.2,Encounter for other antenatal screening follow-up
Z363,Z36.3,Encounter for antenatal screening for malformations
Z3682,Z36.82,Encounter for antenatal screening for nuchal translucency
Z3686,Z36.86,Encounter for antenatal screening for cervical length
Z3687,Z36.87,Encounter for antenatal screening for uncertain dates
Z3689,Z36.89,Encounter for other specified antenatal screening
Z369,Z36.9,"Encounter for antenatal screening, unspecified"
Z370,Z37.0,Single live birth
Z390,Z39.0,Encounter for care and examination of mother immediately after delivery
Z391,Z39.1,Encounter for care and examination of lactating mother
Z392,Z39.2,Encounter for routine postpartum follow-up
Z3A,Z3A,Weeks of gestation
Z3A00,Z3A.00,Weeks of gestation of pregnancy not specified
Z3A01,Z3A.01,Less than 8 weeks gestation of pregnancy
Z3A08,Z3A.08,8 weeks gestation of pregnancy
Z3A09,Z3A.09,9 weeks gestation of pregnancy
Z3A10,Z3A.10,10 weeks gestation of pregnancy
Z3A11,Z3A.11,11 weeks gestation of pregnancy
Z3A12,Z3A.12,12 weeks gestation of pregnancy
Z3A13,Z3A.13,13 weeks gestation of pregnancy
Z3A14,Z3A.14,14 weeks gestation of pregnancy
Z3A15,Z3A.15,15 weeks gestation of pregnancy
Z3A16,Z3A.16,16 weeks gestation of pregnancy
Z3A18,Z3A.18,18 weeks gestation of pregnancy
M23022,M23.022,"Cystic meniscus, posterior horn of medial meniscus, left knee"
M23200,M23.200,"Derangement of unspecified lateral meniscus due to old tear or injury, right knee"
M23201,M23.201,"Derangement of unspecified lateral meniscus due to old tear or injury, left knee"
M23221,M23.221,"Derangement of posterior horn of medial meniscus due to old tear or injury, right knee"
M23222,M23.222,"Derangement of posterior horn of medial meniscus due to old tear or injury, left knee"
M23231,M23.231,"Derangement of other medial meniscus due to old tear or injury, right knee"
M23232,M23.232,"Derangement of other medial meniscus due to old tear or injury, left knee"
M23241,M23.241,"Derangement of anterior horn of lateral meniscus due to old tear or injury, right knee"
M23251,M23.251,"Derangement of posterior horn of lateral meniscus due to old tear or injury, right knee"
M23261,M23.261,"Derangement of other lateral meniscus due to old tear or injury, right knee"
M23301,M23.301,"Other meniscus derangements, unspecified lateral meniscus, left knee"
M23321,M23.321,"Other meniscus derangements, posterior horn of medial meniscus, right knee"
M23322,M23.322,"Other meniscus derangements, posterior horn of medial meniscus, left knee"
M23331,M23.331,"Other meniscus derangements, other medial meniscus, right knee"
M23351,M23.351,"Other meniscus derangements, posterior horn of lateral meniscus, right knee"
M23352,M23.352,"Other meniscus derangements, posterior horn of lateral meniscus, left knee"
M23361,M23.361,"Other meniscus derangements, other lateral meniscus, right knee"
M23362,M23.362,"Other meniscus derangements, other lateral meniscus, left knee"
M2341,M23.41,"Loose body in knee, right knee"
M2342,M23.42,"Loose body in knee, left knee"
M23612,M23.612,Other spontaneous disruption of anterior cruciate ligament of left knee
M238X2,M23.8X2,Other internal derangements of left knee
M2391,M23.91,Unspecified internal derangement of right knee
M2392,M23.92,Unspecified internal derangement of left knee
M24052,M24.052,Loose body in left hip
M2410,M24.10,"Other articular cartilage disorders, unspecified site"
M24111,M24.111,"Other articular cartilage disorders, right shoulder"
M24151,M24.151,"Other articular cartilage disorders, right hip"
M24412,M24.412,"Recurrent dislocation, left shoulder"
M24571,M24.571,"Contracture, right ankle"
M24573,M24.573,"Contracture, unspecified ankle"
M24575,M24.575,"Contracture, left foot"
M24641,M24.641,"Ankylosis, right hand"
M24642,M24.642,"Ankylosis, left hand"
M24661,M24.661,"Ankylosis, right knee"
M24812,M24.812,"Other specific joint derangements of left shoulder, not elsewhere classified"
M24851,M24.851,"Other specific joint derangements of right hip, not elsewhere classified"
M24871,M24.871,"Other specific joint derangements of right ankle, not elsewhere classified"
M25332,M25.332,"Other instability, left wrist"
M25351,M25.351,"Other instability, right hip"
M25371,M25.371,"Other instability, right ankle"
M25372,M25.372,"Other instability, left ankle"
M2540,M25.40,"Effusion, unspecified joint"
M25411,M25.411,"Effusion, right shoulder"
M25412,M25.412,"Effusion, left shoulder"
M25422,M25.422,"Effusion, left elbow"
M25432,M25.432,"Effusion, left wrist"
M25441,M25.441,"Effusion, right hand"
M25461,M25.461,"Effusion, right knee"
M25462,M25.462,"Effusion, left knee"
M25471,M25.471,"Effusion, right ankle"
M25472,M25.472,"Effusion, left ankle"
M25473,M25.473,"Effusion, unspecified ankle"
M25474,M25.474,"Effusion, right foot"
M25476,M25.476,"Effusion, unspecified foot"
M2548,M25.48,"Effusion, other site"
M2550,M25.50,Pain in unspecified joint
M25511,M25.511,Pain in right shoulder
M25512,M25.512,Pain in left shoulder
M25519,M25.519,Pain in unspecified shoulder
M25521,M25.521,Pain in right elbow
M25522,M25.522,Pain in left elbow
M25529,M25.529,Pain in unspecified elbow
M25531,M25.531,Pain in right wrist
M25532,M25.532,Pain in left wrist
M25539,M25.539,Pain in unspecified wrist
M25541,M25.541,Pain in joints of right hand
M25542,M25.542,Pain in joints of left hand
M25549,M25.549,Pain in joints of unspecified hand
M25551,M25.551,Pain in right hip
M25552,M25.552,Pain in left hip
M25559,M25.559,Pain in unspecified hip
M25561,M25.561,Pain in right knee
M25562,M25.562,Pain in left knee
M25569,M25.569,Pain in unspecified knee
M25571,M25.571,Pain in right ankle and joints of right foot
M25572,M25.572,Pain in left ankle and joints of left foot
M25579,M25.579,Pain in unspecified ankle and joints of unspecified foot
M2559,M25.59,Pain in other specified joint
M2560,M25.60,"Stiffness of unspecified joint, not elsewhere classified"
M25612,M25.612,"Stiffness of left shoulder, not elsewhere classified"
M25641,M25.641,"Stiffness of right hand, not elsewhere classified"
M25642,M25.642,"Stiffness of left hand, not elsewhere classified"
M25651,M25.651,"Stiffness of right hip, not elsewhere classified"
M25652,M25.652,"Stiffness of left hip, not elsewhere classified"
M25661,M25.661,"Stiffness of right knee, not elsewhere classified"
M25662,M25.662,"Stiffness of left knee, not elsewhere classified"
M25671,M25.671,"Stiffness of right ankle, not elsewhere classified"
M25672,M25.672,"Stiffness of left ankle, not elsewhere classified"
M25675,M25.675,"Stiffness of left foot, not elsewhere classified"
M2570,M25.70,"Osteophyte, unspecified joint"
M25711,M25.711,"Osteophyte, right shoulder"
M25751,M25.751,"Osteophyte, right hip"
M25761,M25.761,"Osteophyte, right knee"
M25762,M25.762,"Osteophyte, left knee"
M25771,M25.771,"Osteophyte, right ankle"
M25774,M25.774,"Osteophyte, right foot"
M25775,M25.775,"Osteophyte, left foot"
M2578,M25.78,"Osteophyte, vertebrae"
M2580,M25.80,"Other specified joint disorders, unspecified joint"
M25851,M25.851,"Other specified joint disorders, right hip"
M25852,M25.852,"Other specified joint disorders, left hip"
M25859,M25.859,"Other specified joint disorders, unspecified hip"
M25861,M25.861,"Other specified joint disorders, right knee"
M25862,M25.862,"Other specified joint disorders, left knee"
M259,M25.9,"Joint disorder, unspecified"
M2602,M26.02,Maxillary hypoplasia
M26601,M26.601,"Right temporomandibular joint disorder, unspecified"
M26602,M26.602,"Left temporomandibular joint disorder, unspecified"
M26603,M26.603,"Bilateral temporomandibular joint disorder, unspecified"
M26609,M26.609,"Unspecified temporomandibular joint disorder, unspecified side"
M26622,M26.622,Arthralgia of left temporomandibular joint
M26623,M26.623,Arthralgia of bilateral temporomandibular joint
M26629,M26.629,"Arthralgia of temporomandibular joint, unspecified side"
M2669,M26.69,Other specified disorders of temporomandibular joint
M273,M27.3,Alveolitis of jaws
M2761,M27.61,Osseointegration failure of dental implant
M315,M31.5,Giant cell arteritis with polymyalgia rheumatica
M316,M31.6,Other giant cell arteritis
M320,M32.0,Drug-induced systemic lupus erythematosus
M3210,M32.10,"Systemic lupus erythematosus, organ or system involvement unspecified"
M328,M32.8,Other forms of systemic lupus erythematosus
M329,M32.9,"Systemic lupus erythematosus, unspecified"
M349,M34.9,"Systemic sclerosis, unspecified"
M35,M35,Other systemic involvement of connective tissue
M3500,M35.00,"Sjögren syndrome, unspecified"
M3501,M35.01,Sjögren syndrome with keratoconjunctivitis
M3509,M35.09,Sjögren syndrome with other organ involvement
M351,M35.1,Other overlap syndromes
M353,M35.3,Polymyalgia rheumatica
M354,M35.4,Diffuse (eosinophilic) fasciitis
M3581,M35.81,Multisystem inflammatory syndrome
M359,M35.9,"Systemic involvement of connective tissue, unspecified"
M40202,M40.202,"Unspecified kyphosis, cervical region"
M40204,M40.204,"Unspecified kyphosis, thoracic region"
M40205,M40.205,"Unspecified kyphosis, thoracolumbar region"
M40209,M40.209,"Unspecified kyphosis, site unspecified"
M4124,M41.24,"Other idiopathic scoliosis, thoracic region"
M4125,M41.25,"Other idiopathic scoliosis, thoracolumbar region"
M4126,M41.26,"Other idiopathic scoliosis, lumbar region"
M4156,M41.56,"Other secondary scoliosis, lumbar region"
M4180,M41.80,"Other forms of scoliosis, site unspecified"
M4184,M41.84,"Other forms of scoliosis, thoracic region"
M4185,M41.85,"Other forms of scoliosis, thoracolumbar region"
M4186,M41.86,"Other forms of scoliosis, lumbar region"
M4187,M41.87,"Other forms of scoliosis, lumbosacral region"
M419,M41.9,"Scoliosis, unspecified"
M4300,M43.00,"Spondylolysis, site unspecified"
M4302,M43.02,"Spondylolysis, cervical region"
M4306,M43.06,"Spondylolysis, lumbar region"
M4310,M43.10,"Spondylolisthesis, site unspecified"
M4312,M43.12,"Spondylolisthesis, cervical region"
M4315,M43.15,"Spondylolisthesis, thoracolumbar region"
M4316,M43.16,"Spondylolisthesis, lumbar region"
M4317,M43.17,"Spondylolisthesis, lumbosacral region"
M4322,M43.22,"Fusion of spine, cervical region"
M4323,M43.23,"Fusion of spine, cervicothoracic region"
M4325,M43.25,"Fusion of spine, thoracolumbar region"
M4326,M43.26,"Fusion of spine, lumbar region"
M4327,M43.27,"Fusion of spine, lumbosacral region"
M435X6,M43.5X6,"Other recurrent vertebral dislocation, lumbar region"
M436,M43.6,Torticollis
M438X4,M43.8X4,"Other specified deforming dorsopathies, thoracic region"
M438X5,M43.8X5,"Other specified deforming dorsopathies, thoracolumbar region"
M438X6,M43.8X6,"Other specified deforming dorsopathies, lumbar region"
M439,M43.9,"Deforming dorsopathy, unspecified"
M450,M45.0,Ankylosing spondylitis of multiple sites in spine
M452,M45.2,Ankylosing spondylitis of cervical region
M456,M45.6,Ankylosing spondylitis lumbar region
M459,M45.9,Ankylosing spondylitis of unspecified sites in spine
M4602,M46.02,"Spinal enthesopathy, cervical region"
M4603,M46.03,"Spinal enthesopathy, cervicothoracic region"
M4606,M46.06,"Spinal enthesopathy, lumbar region"
M4609,M46.09,"Spinal enthesopathy, multiple sites in spine"
M461,M46.1,"Sacroiliitis, not elsewhere classified"
M4647,M46.47,"Discitis, unspecified, lumbosacral region"
J683,J68.3,"Other acute and subacute respiratory conditions due to chemicals, gases, fumes and vapors"
J690,J69.0,Pneumonitis due to inhalation of food and vomit
J700,J70.0,Acute pulmonary manifestations due to radiation
J705,J70.5,Respiratory conditions due to smoke inhalation
J80,J80,Acute respiratory distress syndrome
J810,J81.0,Acute pulmonary edema
J811,J81.1,Chronic pulmonary edema
J8410,J84.10,"Pulmonary fibrosis, unspecified"
J849,J84.9,"Interstitial pulmonary disease, unspecified"
J90,J90,"Pleural effusion, not elsewhere classified"
J918,J91.8,Pleural effusion in other conditions classified elsewhere
J929,J92.9,Pleural plaque without asbestos
J9311,J93.11,Primary spontaneous pneumothorax
J9383,J93.83,Other pneumothorax
J939,J93.9,"Pneumothorax, unspecified"
J942,J94.2,Hemothorax
J9501,J95.01,Hemorrhage from tracheostomy stoma
J9509,J95.09,Other tracheostomy complication
J951,J95.1,Acute pulmonary insufficiency following thoracic surgery
J952,J95.2,Acute pulmonary insufficiency following nonthoracic surgery
J95811,J95.811,Postprocedural pneumothorax
